Location,Hours,Hourly Pay,Employee
1,10,8.04,Natasha Miller
1,8,6.95,Joe Woods
1,13,7.58,Alonzo Cooley
1,9,8.81,Aiden Watson
1,11,8.33,Alisson Miles
1,14,9.96,Bryant Gould
1,6,7.24,Nicole Mason
1,4,4.26,Byron Gillespie
1,12,10.84,Employee X
1,7,4.82,Chana Mueller
1,5,5.68,Rachel Wilkins
2,10,9.14,Jesse Goodwin
2,8,8.14,Rachel Fisher
2,13,8.74,Riya Meadows
2,9,8.77,Macey Rojas
2,11,9.26,Ryker Benson
2,14,8.1,Kyle Carter
2,6,6.13,Toby Stevens
2,4,3.1,Mason Read
2,12,9.13,Caiden Miles
2,7,7.26,Dulce Evans
2,5,4.74,Harmony Petty
3,10,7.46,Galilea Mathews
3,8,6.77,Amelie Murphy
3,13,12.74,Employee X
3,9,7.11,Taylor Clayton
3,11,7.81,Kayla Fraser
3,14,8.84,Kynlee Simpson
3,6,6.08,Yasmin Martin
3,4,5.39,Ruby Chambers
3,12,8.15,Weston Lyons
3,7,6.42,Ava Hopkins
3,5,5.73,Caitlin Sharp
4,8,6.58,Joel Mccormick
4,8,5.76,Sam Gordon
4,8,7.71,Dillon Kerr
4,8,8.84,Aiden Chapman
4,8,8.47,Lauren Martin
4,8,7.04,Ewan Ball
4,8,5.25,Elliot Moss
4,19,12.5,Employee X
4,8,5.56,Joslyn Wolfe
4,8,7.91,Phoenix Blair
4,8,6.89,William Ward
